locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0246	1.40556770073464	0.243284134910391	7.02519931793213	0.21988
Mmol_0247	-1.78252400985976	0.231351168016045	NULL	0
Mmol_0248	-1.32436590609777	0.147612100392783	NULL	0
Mmol_0249	1.1497666698625	0.302187619664286	NULL	0
Mmol_0250	-2.05499641402493	0.182327340061344	NULL	0
Mmol_0251	-3.66892298286918	0.0374736084053871	-1.03055560649711	0.895284
Mmol_0252	-1.49283933100946	0.511603143022967	-1.26918746608656	0.209037
Mmol_0253	-3.47875790415157	0.0567003794836268	1.57920585330138	0.131746
Mmol_0254	2.3836647838409	0.421947790087061	4.83194793030434	0.000288614
Mmol_0255	2.15994764637438	0.359627424615286	-2.89401239962643	0.14763
Mmol_0256	-1.7036132275008	0.18564263029245	NULL	0
Mmol_0257	-1.17543520492621	0.647207852817901	-3.87751018419109	0.000341493
Mmol_0258	1.76978093942409	0.350439294385407	-2.47002527442228	0.0079335
Mmol_0259	1.52938671788736	0.099756593693531	1.21463006409246	0.00701938
Mmol_0260	1.15392762426613	0.671698716643995	NULL	0
Mmol_0261	21.6977598481937	0.344545651126746	NULL	0
Mmol_0262	1.13620757740171	0.828134005274906	NULL	0
Mmol_0263	6.40904190161586	0.146111489993344	NULL	0
Mmol_R0010	1.06497426013175	0.91988310294671	NULL	NULL
Mmol_0264	-1.57208118338194	0.392718108415627	-1.2014236824866	0.475306
Mmol_0265	-1.36456266948483	0.027999692552677	NULL	0
Mmol_0266	-2.8414464490688	0.0780086807116243	NULL	0
Mmol_0267	-2.50504722223155	0.175280451751234	1.80871623625197	0.146626
Mmol_0268	-1.59970804218284	0.455463626802862	NULL	0
Mmol_0269	1.51135705255889	0.304019168342875	NULL	0
Mmol_0270	-1.44891394047364	0.423866246733614	NULL	0
Mmol_0271	-1.30151069729979	0.75975552798283	NULL	0
Mmol_0272	-1.13964117104153	0.870199885822437	2.63952700633081	0.00702973
Mmol_0273	-1.27483937205724	0.39675797226725	NULL	0
Mmol_0274	-2.92041426047476	0.192394372677278	NULL	0
Mmol_0275	-1.57681284463741	0.320177503687127	NULL	0
Mmol_0276	-1.94735698871042	0.262628190539409	-1.51711725311437	0.355615
Mmol_0277	-1.40845202950333	0.125024820550771	2.10480030377706	0.899089
Mmol_0278	-1.94275818764821	0.133762391139155	1.31487677303168	0.102956
Mmol_0279	-1.11264286117091	0.811084859868774	NULL	0
Mmol_0280	1.00701997418205	0.954091883135457	-1.67211598058849	0.157148
Mmol_0281	2.29093666588846	0.401355841608519	-3.63720547223428	0.158779
Mmol_0282	1.06933929142975	0.85302377070205	-2.16451940339474	0.0108021
Mmol_0283	2.01584973637269	0.083853307496804	NULL	0
Mmol_0284	-3.67327341145179	0.0737034421550323	NULL	0
Mmol_0285	1.78471317264962	0.264033645421838	1.35335670157897	0.0110566
Mmol_0286	-1.28808499167147	0.651696127048669	-1.15456542940889	0.351953
Mmol_0287	-1.37313524075198	0.380572814675278	-2.0773121603746	0.032539
Mmol_0288	1.14359477609133	0.821379320611796	10.3798479345557	0.235631
Mmol_0289	-2.24639897362266	0.0743131124316435	1.13138684588925	0.0918519
Mmol_0290	-1.4139271322243	0.451349757111994	NULL	0
Mmol_0291	-1.36667899947075	0.561843844329248	1.44746146506387	0.0957049
Mmol_0292	1.71731782138896	0.314675197517791	NULL	0
Mmol_0293	-1.74731436282008	0.391052434668377	-1.63400951009857	0.00108358
Mmol_0294	1.57169087664733	0.204114984162795	-2.28547487693608	0.263375
Mmol_0295	-1.56674967552244	0.0747615756391784	-1.42012064669668	0.114069
Mmol_0296	1.14932938874367	0.690627628755545	-3.74950680400151	0.000338347
Mmol_0297	-1.02957606995684	0.671782688148409	NULL	0
Mmol_0298	2.04352060713161	0.285297870972737	NULL	0
